Nom, Vietnamese translated by hcmus
命東閣學士裴廷員翰林侍書陶公正徃關上接領回京〇,mệnh đông các học sĩ bùi đình viên hàn lâm thị thư đào công chính vãng quan thượng tiếp lĩnh hồi kinh linh
甲午望月有食之〇,giáp ngọ vọng nguyệt hữu thực chi linh
令旨該勘各衙門所勘諸訟或當受而不受及訟人越告者論罰有差〇,lệnh chỉ cai khám các nha môn sở khám chư tụng hoặc đương thụ nhi bất thụ cập tụng nhân việt cáo giả luận phạt hữu sai linh
六月庚戌朔日有食之,lục nguyệt canh tuất sóc nhật hữu thực chi
大赦天下季税十分之一,đại xá thiên hạ quý thuế thập phân chi nhất
民心大悅,dân tâm đại duyệt
令旨許内監各員所養子孫饒䕃限以職品髙下爲差〇,lệnh chỉ hứa nội giám các viên sở dưỡng tử tôn nhiêu ấm hạn dĩ chức phẩm cao hạ vi sai linh
秋八月九日有星隕如雨〇,thu bát nguyệt cửu nhật hữu tinh vẫn như vũ linh
九月王經,cửu nguyệt vương kinh
理巡省民風,lí tuần tỉnh dân phong
行至盐户海門盐户社名属瑞英縣存問民間長老攷賜緡錢八十以上人叄緡七十以上人貳緡民情喜悅,hành chí diêm hộ hải môn diêm hộ xã danh thuộc thuỵ anh huyện tồn vấn dân gian trưởng lão khảo tứ mân tiền bát thập dĩ thượng nhân tam mân thất thập dĩ thượng nhân nhị mân dân tình hỉ duyệt
又令於海靣排列船艘載度兵馬練習戰陣張耀威武,hựu lệnh ư hải diện bài liệt thuyền sưu tải độ binh mã luyện tập chiến trận trương diệu uy vũ
復行至五漫地方攷賜長老亦如之乃還京〇,phục hành chí ngũ mạn địa phương khảo tứ trường lão diệc như chi nãi hoàn kinh linh
以武兼爲山西處參政阮廷正爲京北處參正阮公璧爲海陽處參政陶公正爲奉天府尹〇,dĩ võ kiêm vi sơn tây xứ tham chính nguyễn đình chính vi kinh bắc xứ tham chính nguyễn công bích vi hải dương xứ tham chính đào công chính vi phụng thiên phủ doãn linh
十二月許安廣處承政使純禮伯阮偉陞工部右侍郎侯爵致仕伟時年七十有七〇,thập nhị nguyệt hứa an quảng xứ thừa chính sứ thuần lễ bá nguyễn vĩ thăng công bộ hữu thị lang hầu tước trí sĩ vĩ thời niên thất thập hữu thất linh
平調京北處參政廣林伯阮,bình điều kinh bắc xứ tham chính quảng lâm bá nguyễn
勢濱爲太原處參政以其考課失實也,thế tân vi thái nguyên xứ tham chính dĩ kì khảo khoá thất thực dã
丁未五年明永曆蕊十一年清康熙六年春二月會試天下舉人,đinh vị ngũ niên minh vĩnh lịch nhị thập nhất niên thanh khang hi lục niên xuân nhị nguyệt hội thí thiên hạ cử nhân
取中格阮有登等三名〇,thủ trung cách nguyễn hữu đăng đẳng tam danh linh
三月清遣正使程芳朝副使張易賁奉册來封帝爲安南國王,tam nguyệt thanh khiển chánh sứ trình phương triều phó sứ trương dịch bí phụng sách lai phong đế vi an nam quốc vương
命東各學士裴廷員吏科給事中杜善正徃迎接回京行欽受禮,mệnh đông các học sĩ bùi đình viên lại khoa cấp sự trung đỗ thiện chính vãng nghênh tiếp hồi kinh hành khâm thụ lễ
其册文曰來王來享要荒昭事大之誠悉士悉臣國家著柔遠之義象賢崇德愛載舊章纘服承先宜加新寵爾安南國嗣子黎日南啓宇辰北歸心圭璧禔躬夙被禮義之,kì sách văn viết lai vương lai hưởng yếu hoang chiêu sự đại chi thành tất sĩ tất thần quốc gia trước nhu viễn chi nghĩa tượng hiền sùng đức ái tải cựu chương toản phục thừa tiên nghi gia tân sủng nhĩ an nam quốc tự tử lê nhật nam khải vũ thần bắc quy tâm khuê bích đề cung túc bị lễ nghĩa chi
化梯航奉職遠慕聲教之隆傾復納僞印以攄󰠐繳僞勑而效順念爾忠貞世篤久揚繼述於前徽譽命未光爱有編音之下逮,hoá thê hàng phụng chức viễn mộ thanh giáo chi long khuynh phục nạp nguỵ ấn dĩ sư thầm chước nguỵ sắc nhi hiệu thuận niệm nhĩ trung trinh thế đốc cửu dương kế thuật ư tiền huy dự mệnh vị quang ái hữu biên âm chi hạ đãi
特遣内國史院侍讀學士之從三品俸程芳朝禮部儀制司郎中張易賁封爾爲安南國王奄有属郡撫兹舊邦守職宣猷用永線夫󰅾礪制節謹度期報答於君親欽哉無替朕命〇,đặc khiển nội quốc sử viện thị độc học sĩ chi tòng tam phẩm bổng trình phương triều lễ bộ nghi chế ti lang trung trương dịch bí phong nhĩ vi an nam quốc vương yểm hữu thuộc quận phủ tư cựu bang thủ chức tuyên du dụng vĩnh tuyến phu đai lệ chế tiết cẩn độ kỳ báo đáp ư quân thân khâm tai vô thế trẫm mệnh linh
夏四月殿試賜阮冠儒等三名同進士出身〇,hạ tứ nguyệt điện thí tứ nguyễn quán nho đẳng tam danh đồng tiến sĩ xuất thân linh
令旨乂安處南河諸縣社民人有以堅義功祇受勑命止復其身,lệnh chỉ nghệ an xứ nam hà chư huyện xã dân nhân hữu dĩ kiên nghĩa công chỉ thụ sắc mệnh chỉ phục kỳ thân
其子孫與百姓同〇,kỳ tử tôn dữ bách tính đồng linh
加兵部尙書芳嶺侯武惟志爵芳郡公户部左侍郎義舍侯裴挺爵義郡公以其奉侍潜邸日久累隨征罰有功故也〇,gia binh bộ thượng thư phương lĩnh hầu vũ duy chí tước phương quận công hộ bộ tả thị lang nghĩa xá hầu bùi đĩnh tước nghĩa quận công dĩ kì phụng thị tiềm để nhật cửu luỵ tuỳ chinh phạt hữu công cố dã linh
令旨開例官校正清華乂安官田數另率反寓居人率等條〇,lệnh chỉ khai lệ quan hiệu chính thanh hoa nghệ an quan điền số lánh suất phản ngụ cư nhân suất đẳng điều linh
五月以王孫榮良侯鄭栐爲副将都督同知良郡公〇,ngũ nguyệt dĩ vương tôn vinh lương hầu trịnh 栐 vi phó tướng đô đốc đồng tri lương quận công linh
令旨戒𬋩兵官毋得脧削奇虐兵民〇,lệnh chỉ giới quản binh quan vô đắc thuyên tước kì ngược binh dân linh
命京官分行四鎮閲選民丁取其强健者爲另送歸隊伍以時練習侯僃差行征討〇,mệnh kinh quan phân hành tứ trấn duyệt tuyển dân đinh thủ kì cường kiện giả vi lánh tống quy đội ngũ dĩ thời luyện tập hầu bị sai hành chinh thảo linh
遣兵部右侍郎潤裔伯胡士揚東閣學,khiến binh bộ hữu thị lang nhuận duệ bá hồ sĩ dương đông các học
士裴廷員徃關上候命〇,sĩ bùi đình viên vãng quan thượng hậu mệnh linh
六月清華處河決水溢渰浸民田〇,lục nguyệt thanh hoa xứ hà quyết thuỷ dật yêm tẩm dân điền linh
秋七月遣正使阮潤副使鄭時濟黎榮等如清歲貢又遣正使阮國櫆阮公璧如清謝恩〇,thu thất nguyệt khiển chánh sứ nguyễn nhuận phó sứ trịnh thời tế lê vinh đẳng như thanh tuế cống hựu khiển chánh sứ nguyễn quốc khôi nguyễn công bích như thanh tạ ân linh
令旨𬋩兵官不得留房另兵䂓取錢財〇,lệnh chỉ quản binh quan bất đắc lưu phòng lánh binh quy thủ tiền tài linh
以署衛事隴郡公范院爲都督僉事以其奉侍潜邸日久有功故也〇,dĩ thự vệ sự lũng quận công phạm viện vi đô đốc thiêm sự dĩ kì phụng thị tiềm để nhật cửu hữu công cố dã linh
八月有無頼僞徒啸聚於永頼瑞英地方僣號應天,bát nguyệt hữu vô lại nguỵ đồ khiếu tụ ư vĩnh lại thuỵ anh địa phương tiếm hiệu ứng thiên
于時瑞英縣縣丞杜文洽與永頼會庵人陶世相等率本部兵擒獲檻送京師斬之,vu thời thuỵ anh huyện huyện thừa đỗ văn hiệp dữ vĩnh lại hội am nhân đào thế tương đẳng suất bản bộ binh cầm hoạch hạm tống kinh sư trảm chi
其文洽世相等各加,kì văn hiệp thế tương đẳng các gia
陞職爵有差〇,thăng chức tước hữu sai linh
九月大舉進征髙平,cửu nguyệt đại cử tiến chinh cao bình
時髙平地方猶爲莫敬宇阻㨿拒違朝命不臣州民𨺻溺,thời cao bình địa phương do vi mạc kính vũ trở cứ cự vi triều mệnh bất thần châu dân hãm nịch
於是王親提大兵進𤼵諒山道委節制府太尉宜國公鄭根統督諸将進𤼵太原道差太傅莅郡公鄭棟少尉雲郡公鄭榩少尉豪郡公黎時憲少傅奠郡公鄭楃都督同知禄郡公丁文左立郡公黎珠等爲統領督率,ư thị vương thân đề đại binh tiến phát lạng sơn đạo uỷ tiết chế phủ thái uý nghi quốc công trịnh căn thống đốc chư tướng tiến phát thái nguyên đạo sai thái phó lị quận công trịnh đống thiếu uý vân quận công trịnh kiền thiếu uý hào quận công lê thời hiến thiếu phó điện quận công trịnh ác đô đốc đồng tri lộc quận công đinh văn tả lập quận công lê châu đẳng vi thống lĩnh đốc suất
以禮部左侍郎陽郡公阮能紹刑部左侍郎桂海侯黎仕澈工部左侍郎延禄伯楊㵆兵部右侍郎潤裔伯胡士,dĩ lễ bộ tả thị lang dương quận công nguyễn năng thiệu hình bộ tả thị lang quế hải hầu lê sĩ triệt công bộ tả thị lang duyên lộc bá dương hạo binh bộ hữu thị lang nhuận duệ bá hồ sĩ
揚鴻臚寺卿海山男阮名實監察御史張論道等爲督視分道並進直抵〇平,dương hồng lô tự khanh hải sơn nam nguyễn danh thực giám sát ngự sử trương luận đạo đẳng vi đốc thị phân đạo tịnh tiến trực để linh bình
敬宇聞大兵至乃與其黨奔入内地鎮安州諸道追趕哨拿俘獲莫氏族属男女與其徒黨及人畜噐械財物不可勝紀先後歸降者益眾,kính vũ văn đại binh chí nãi dữ kì đảng bôn nhập nội địa trấn an châu chư đạo truy cản tiếu nã phù hoạch mạc thị tộc thuộc nam nữ dữ kì đồ đảng cập nhân súc khí giới tài vật bất khả thắng kỷ tiên hậu quy hàng giả ích chúng
王體好生大德諸投降者特加恩宥脅從者一皆寬赦,vương thể hảo sinh đại đức chư đầu hàng giả đặc gia ân hựu hiếp tòng giả nhất giai khoan xá
又宣布明論安集州民各使復業率遵聲教,hựu tuyên bố minh luận an tập châu dân các sứ phục nghiệp suất tuân thanh giáo
一方之民咸蘇徯望焉〇,nhất phương chi dân hàm tô hễ vọng yên linh
冬十月丙戌望日有食之〇,đông thập nguyệt bính tuất vọng nhật hữu thực chi linh
都督僉事頴郡公鄭樑卒于軍贈左都督,đô đốc thiêm sự dĩnh quận công trịnh lương tốt vu quân tặng tả đô đốc
甲申六年清康熙七年春正月己丑有天棓星出西北方長半丈形如彗星〇,giáp thân lục niên thanh khang hy thất niên xuân chính nguyệt kỷ sửu hữu thiên bạng tinh xuất tây bắc phương trường bán trượng hình như tuệ tinh linh
是年旱〇,thị niên hạn linh
二月王大捷凱還留都督同知禄郡公丁文左鎮守七泉地方以鴻臚寺卿阮名實爲督同,nhị nguyệt vương đại tiệp khải hoàn lưu đô đốc đồng tri lộc quận công đinh văn tả trấn thủ thất tuyền địa phương dĩ hồng lô tự khanh nguyễn danh thực vi đốc đồng
至京告廟奏捷,chí kinh cáo miếu tấu tiệp
凣莫氏渠魁寘之國法其餘悉皆放赦,phàm mạc thị cừ khôi trí chi quốc pháp kì dư tất giai phóng xá
四月帝以王復國讐有大功乃尊封爲大元帥掌國政尙師太父德功仁威明聖西王,tứ nguyệt đế dĩ vương phục quốc thù hữu đại công nãi tôn phong vi đại nguyên soái chưởng quốc chính thượng sư thái phụ đức công nhân uy minh thánh tây vương
其冊文曰朕惟皇天生賢聖之才所以福國人君設尊貴之禮用以答勳,kì sách văn viết trẫm duy hoàng thiên sinh hiền thánh chi tài sở dĩ phúc quốc nhân quân thiết tôn quý chi lễ dụng dĩ đáp huân
誕協明徵載鏤華冊󱘢惟大元帥,đản hiệp minh trưng tải lũ hoa sách theo duy đại nguyên soái
掌國政尙師西王英䧺盖世忠厚傅家,chưởng quốc chính thượng sư tây vương anh hùng cái thế trung hậu phó gia
昔成祖纘世祖鴻基尊立先君賛成恢復之功平定之績,tích thành tổ toản thế tổ hồng cơ tôn lập tiên quân tán thành khôi phục chi công bình định chi tích
兹勳王率誼王大業來輔冲人頼多匡扶之力造就之仁政圖而朝重社安威加而内平外讋,tư huân vương suất nghị vương đại nghiệp lai phụ trùng nhân lại đa khuông phù chi lực tạo tựu chi nhân chính đồ nhi triều trọng xã an uy gia nhi nội bình ngoại triệp
親提三軍進討髙平之莫孽巢穴掃空歸恢一統混洞先王之舊疆版章盡復,thân đề tam quân tiến thảo cao bình chi mạc nghiệt sào huyệt tảo không quy khôi nhất thống hỗn động tiên vương chi cựu cương bản chương tận phục
諒盛德大功之素著信異數殊禮之當加,lạng thịnh đức đại công chi tố trước tín dị số thù lễ chi đương gia
特遣特進金紫榮禄大夫陪從工部尙書芳桂侯黎斅捧賫金冊普尊大元帥掌國政尙師太父德功仁威明聖,đặc khiến đặc tiến kim tử vinh lộc đại phu bồi tòng công bộ thượng thư phương quế hầu lê hiệu phủng tê kim sách phổ tôn đại nguyên soái chưởng quốc chính thượng sư thái phụ đức công nhân uy minh thánh
西王,tây vương
王以其光受鴻名命永膺於𮌐祐莫安鰲世丕顯於治平,vương dĩ kì quang thụ hồng danh mệnh vĩnh ưng ư quyến hựu mạc an ngao thế phi hiển ư trị bình
王家延有道之長皇圖衍無疆之󰆑,vương gia duyên hữu đạo chi trường hoàng đồ diễn vô cương chi khánh
欽哉〇,khâm tai linh
令各處諸社村民如有重例者各備以聞付監督平例官查實量减分與本縣各社共受以均賦役〇,lệnh các xứ chư xã thôn dân như hữu trọng lệ giả các bị dĩ văn phó giám đốc bình lệ quan tra thực lượng giảm phân dữ bản huyện các xã cộng thụ dĩ quân phú dịch linh
六月以都督同知禄郡公丁文左爲左都督都督命事纘郡公鄭𣛧提督燕郡公鄭柳竝爲都督同知,lục nguyệt dĩ đô đốc đồng tri lộc quận công đinh văn tả vi tả đô đốc đô đốc mệnh sự toản quận công trịnh chuôm đề đốc yến quận công trịnh liễu tịnh vi đô đốc đồng tri
兵部左侍郎延禄伯楊㵆爲史部左侍郎立郡公黎珠爲都督僉事枚世康爲參督弘郡公提督芳岩󰞌陶光廣,binh bộ tả thị lang duyên lộc bá dương hạo vi sử bộ tả thị lang lập quận công lê châu vi đô đốc thiêm sự mai thế khang vi tham đốc hoằng quận công đề đốc phương nham hầu đào quang quảng
參賛楊林侯劉世賡竝陞郡公爵,tham tán dương lâm hầu lưu thế canh tịnh thăng quận công tước
太原道監察御史枚林子張論道爲東各校書僉太監才兼侯鄧仕榮爲太監竝以從征髙平俘獲賊黨有功故也〇,thái nguyên đạo giám sát ngự sử mai lâm tử trương luận đạo vi đông các hiệu thư thiêm thái giám tài kiêm hầu đặng sĩ vinh vi thái giám tịnh dĩ tòng chinh cao bình phù hoạch tặc đảng hữu công cố dã linh
秋七月都督命事通郡公鄭樭卒,thu thất nguyệt đô đốc mệnh sự thông quận công trịnh cơ tốt
贈右都督〇,tặng hữu đô đốc linh
山南處參政范公兼罷以督押堤路假作且緩期故也〇,sơn nam xứ tham chính phạm công kiêm bãi dĩ đốc áp đê lộ giả tác thả hoãn kỳ cố dã linh
八月禮部左侍郎楊郡公阮能紹卒,bát nguyệt lễ bộ tả thị lang dương quận công nguyễn năng thiệu tốt
能紹爲人質直居官清白南河之役參賛軍務有功,năng thiệu vi nhân chất trực cư quan thanh bạch nam hà chi dịch tham tán quân vụ hữu công
至是卒贈禮部尙書賜諡忠肅,chí thị tốt tặng lễ bộ thượng thư tứ thuỵ trung túc
能紹清池弘烈人〇,năng thiệu thanh trì hoằng liệt nhân linh
削阮德忠官爵德忠桂陽桂塢人,tước nguyễn đức trung quan tước đức trung quế dương quế ổ nhân
少保豪郡公阮德業之子嘗從征伐果敢善戰累官至都督同知爵瑞郡公,thiếu bảo hào quận công nguyễn đức nghiệp chi tử thường tòng chinh phạt quả cảm thiện chiến luỵ quan chí đô đốc đồng tri tước thuỵ quận công
王以次女鄭氏玉檉嫁之,vương dĩ thứ nữ trịnh thị ngọc sanh giá chi
但性殘忍特功驕横第宅僣侈又父子潜貯噐械私𤼵與民隂圖不軌,đãn tính tàn nhẫn đặc công kiêu hoành đệ trạch tiếm xỉ hựu phụ tử tiềm trữ khí giới tư phát dữ dân âm đồ bất quỹ
事覺付下廷議反形已具,sự giác phó hạ đình nghị phản hình dĩ cụ
王念其有戰功止削奪官爵免死而誅其子阮德兼等三人〇,vương niệm kì hữu chiến công chỉ tước đoạt quan tước miễn tử nhi tru kì tử nguyễn đức kiêm đẳng tam nhân linh
九月甲辰日上一抱一背現于兑方亢宿度〇,cửu nguyệt giáp thìn nhật thượng nhất bão nhất bối hiện vu đoài phương cang túc độ linh
許國子監司業綏禄伯阮光岳陞翰林院侍讀致仕〇,hứa quốc tử giám tư nghiệp tuy lộc bá nguyễn quang nhạc thăng hàn lâm viện thị độc trí sĩ linh
冬十二月參從吏部尙書兼東閣大學士少保燕郡公范公著年,đông thập nhị nguyệt tham tòng lại bộ thượng thư kiêm đông các đại học sĩ thiếu bảo yến quận công phạm công trước niên
老乞謝事,lão khất tạ sự
上慰論𮌐留,thượng uý luận quyến lưu
公著懇請益力,công trước khẩn thỉnh ích lực
上許之加陞國老太保參預朝政致仕〇,thượng hứa chi gia thăng quốc lão thái bảo tham dự triều chính trí sĩ linh
許户科事中󰆑堂男阮公弼陞吏科都給事中職子爵致仕,hứa hộ khoa sự trung khánh đường nam nguyễn công bật thăng lại khoa đô cấp sự trung chức tử tước trí sĩ
己酉七年清康熙八年春正月清遣内秘書院侍讀李僊跟兵部郎中楊兆傑賫旨論來使我以髙平四川退還莫氏,kỷ dậu thất niên thanh khang hi bát niên xuân chính nguyệt thanh khiển nội bí thư viện thị độc lý tiên cân binh bộ lang trung dương triệu kiệt tê chỉ luận lai sử ngã dĩ cao bình tứ xuyên thoái hoàn mạc thị
時廷臣與清使辨解徃返數四清使堅執不聽,thời đình thần dữ thanh sứ biện giải vãng phản số tứ thanh sứ kiên chấp bất thính
上以事大惟共時命姑且從之〇,thượng dĩ sự đại duy cộng thời mệnh cô thả tòng chi linh
十四日文祖誼王太妃陳氏薨,thập tứ nhật văn tổ nghị vương thái phi trần thị hoăng
時清使李楊等遣前路李唐胤趙光朂魏象賢等僃儀致祭,thì thanh sứ lý dương đẳng khiến tiền lộ lý đường dận triệu quang húc nguỵ tượng hiền đẳng bị nghi trí tế
二月使臣阮國櫆阮公璧黎榮等還國,nhị nguyệt sứ thần nguyễn quốc khôi nguyễn công bích lê vinh đẳng hoàn quốc
舊制歲貢三年一徃餽送煩數,cựu chế tuế cống tam niên nhất vãng quỹ tống phiền số
明朝萬曆年間已準例六年两貢並進,minh triều vạn lịch niên gian dĩ chuẩn lệ lục niên lưỡng cống tịnh tiến
至是欲如明故事乃修本遣國櫆等如清一體奏請,chí thị dục như minh cố sự nãi tu bản khiển quốc khôi đẳng như thanh nhất thể tấu thỉnh
清帝許之,thanh đế hứa chi
是後遵爲常例〇,thị hậu tuân vi thường lệ linh
夏四月朔日食既〇,hạ tứ nguyệt sóc nhật thực ký linh
五月太僕寺卿麗海子武榮進卒,ngũ nguyệt thái bộc tự khanh lệ hải tử vũ vinh tiến tốt
時榮進奉命督鎮髙平會清朝遣使宣旨以髙平四州退還莫氏乃還京回到中途病卒,thời vinh tiến phụng mệnh đốc trấn cao bình hội thanh triều khiến sứ tuyên chỉ dĩ cao bình tứ châu thoái hoàn mạc thị nãi hoàn kinh hồi đáo trung đồ bệnh tốt
贈兵部右侍郎伯爵差官慰祭〇,tặng binh bộ hữu thị lang bá tước sai quan uý tế linh
六月以武惟志爲禮部尙書陳登選爲兵,lục nguyệt dĩ vũ duy chí vi lễ bộ thượng thư trần đăng tuyển vi binh
部尙書黎斅爲刑部尙書並加參從宰相〇,bộ thượng thư lê hiệu vi hình bộ thượng thư tịnh gia tham tòng tể tương linh
以裴挺爲工部尙書同存澤爲都御史阮宗澧爲户部左侍郎潘兼全爲刑部左侍郎鄧公瓆爲吏部右侍郎阮荗材爲户部右侍郎阮名實爲副都御史吳珪爲僉都御史〇,dĩ bùi đĩnh vi công bộ thượng thư đồng tồn trạch vi đô ngự sử nguyễn tông lễ vi hộ bộ tả thị lang phan kiêm toàn vi hình bộ tả thị lang đặng công chất vi lại bộ hữu thị lang nguyễn mậu tài vi hộ bộ hữu thị lang nguyễn danh thực vi phó đô ngự sử ngô khuê vi thiêm đô ngự sử linh
論奉使功以阮國櫆爲禮部左侍郎玉池子阮公璧爲刑部右侍郎嘉昌男又以阮潤鄭時濟卒于清追贈阮潤爲工部尙書伯爵鄭時濟工部左侍郎子爵仍給民田祀事〇,luận phụng sứ công dĩ nguyễn quốc khôi vi lễ bộ tả thị lang ngọc trì tử nguyễn công bích vi hình bộ hữu thị lang gia xương nam hựu dĩ nguyễn nhuận trịnh thời tế tốt vu thanh truy tặng nguyễn nhuận vi công bộ thượng thư bá tước trịnh thời tế công bộ tả thị lang tử tước nhưng cấp dân điền tự sự linh
以黎珠爲都督同知馮恩義,dĩ lê châu vi đô đốc đồng tri phùng ân nghĩa
爲參督並以其護送文祖誼王太妃䘮事襄成故也〇,vi tham đốc tịnh dĩ kì hộ tống văn tổ nghị vương thái phi tang sự tương thành cố dã linh
秋七月都督同知萊郡公鄭栢卒,thu thất nguyệt đô đốc đồng tri lai quận công trịnh bách tốt
贈左都督〇,tặng tả đô đốc linh
八月以胡士揚爲吏部右侍郎〇,bát nguyệt dĩ hồ sĩ dương vi lại bộ hữu thị lang linh
九月以爵郡公黎庭堅爲提督,cửu nguyệt dĩ tước quận công lê đình kiên vi đề đốc
時庭堅留守山南治事廉平盗息民安故特擢陞二次,thời đình kiên lưu thủ sơn nam trị sự liêm bình đạo tức dân an cố đặc trạc thăng nhị thứ
庭堅安定沛寨人〇,đình kiên an định phái trại nhân linh
旨傳凣徵收季税及奉買供用貨財物得要索外例與抑買賤價以悅民情〇,chỉ truyền phàm trưng thu quý thuế cập phụng mãi cúng dụng hoá tài vật đắc yếu sách ngoại lệ dữ ức mãi tiện giá dĩ duyệt dân tình linh
初宣光安北營嘉國公武文密於恢復之日率兵從義累有功勞先朝仍鎮宣光地方許以世守傳襲其子太,sơ tuyên quang an bắc doanh gia quốc công võ văn mật ư khôi phục chi nhật suất binh tòng nghĩa luỵ hữu công lao tiên triều nhưng trấn tuyên quang địa phương hứa dĩ thế thủ truyền tập kì tử thái
傅仁郡公武公紀孫太保和郡公武德恭並能繼承先志恪修臣職,phó nhân quận công võ công kỷ tôn thái bảo hoà quận công vũ đức cung tịnh năng kế thừa tiên chí khác tu thần chức
至曾孫少傅宗郡公武公㥁特其山川險遠隂蓄不臣之心僣稱王爵僞立朝班又結黨于莫孽屡有交書徃復事跡顯露,chí tằng tôn thiếu phó tông quận công võ công đức đặc kì sơn xuyên hiểm viễn âm súc bất thần chi tâm tiếm xưng vương tước nguỵ lập triều ban hựu kết đảng vu mạc nghiệt lũ hữu giao thư vãng phục sự tích hiển lộ
上以勳臣之後含容未忍問罪,thượng dĩ huân thần chi hậu hàm dung vị nhẫn vấn tội
至是公㥁因與手下麻福長不平内懷疑惧赴京自訴,chí thị công đức nhân dữ thủ hạ ma phúc trường bất bình nội hoài nghi cụ phó kinh tự tố
行至東蘭巡夜爲人所殺,hành chí đông lan tuần dạ vi nhân sở sát
事聞上以公㥁雖失臣節然念彼祖父有大勳勞義不可絶乃立其子武公俊爲後許爲都督僉事賜爵寬郡公領給民,sự văn thượng dĩ công đức tuy thất thần tiết nhiên niệm bỉ tổ phụ hữu đại huân lao nghĩa bất khả tuyệt nãi lập kì tử võ công tuấn vi hậu hứa vi đô đốc thiêm sự tứ tước khoan quận công lĩnh cấp dân
禄使之承祀,lộc sử chi thừa tự
其諸子女悉加慰撫又以麻福長不忠所事乃監于獄中〇,kì chư tử nữ tất gia uý phủ hựu dĩ ma phúc trường bất trung sở sự nãi giám vu ngục trung linh
冬十月議行善政革弊習令凣十八條其一前代帝王及各神祠舊有皂隸付禮部查實論行,đông thập nguyệt nghị hành thiện chính cách tệ tập lệnh phàm thập bát điều kì nhất tiền đại đế vương cập các thần từ cựu hữu tạo lệ phó lễ bộ tra thực luận hành
其二廟祠祭禮許府縣官依例遵行二司吏不得干預,kì nhị miếu từ tế lễ hứa phủ huyện quan y lệ tuân hành nhị ti lại bất đắc can dự
其三徃年不合格生徒及士人補另已歸農者並許應試,kì tam vãng niên bất hợp cách sinh đồ cập sĩ nhân bổ lánh dĩ quy nông giả tịnh hứa ứng thí
其四辨舍吏之廉平貪冗以爲賞罰,kì tứ biện xá lại chi liêm bình tham nhũng dĩ vi thưởng phạt
其五别諸吏之勒幹狡𤟕以僃陞汰,kì ngũ biệt chư lại chi lặc cán giảo 𤟕 dĩ bị thăng thải
其六諸贖罰錢未收得者一皆饒赦,kì lục chư chuộc phạt tiền vị thu đắc giả nhất giai nhiêu xá
其七留監囚人許饑渴者隨時給,kì thất lưu giám tù nhân hứa cơ khát giả tuỳ thời cấp
養其入輕重諸刑並付刑部襨議,dưỡng kì nhập khinh trọng chư hình tịnh phó hình bộ phức nghị
其九擇良家子弟爲社長俾訓化社民曉知禮義,kì cửu trạch lương gia tử đệ vi xã trưởng tỉ huấn hoá xã dân hiểu tri lễ nghĩa
其十諸渡津處隨水淺深取濟功錢不得過索,kì thập chư độ tân xứ tuỳ thuỷ thiển thâm thủ tế công tiền bất đắc quá sách
其十一凣迯罪者許鎮守拿捉,kì thập nhất phàm đào tội giả hứa trấn thủ nã tróc
其十二刷訟事例許前次勘官詳註事跡侯後次官刷行,kì thập nhị xoát tụng sự lệ hứa tiền thứ khám quan tường chú sự tích hầu hậu thứ quan xoát hành
其下六條皆申明勘訟之事領布天下遠近無不喜悅〇,kỳ hạ lục điều giai thân minh khám tụng chi sự lĩnh bố thiên hạ viễn cận vô bất hỉ duyệt linh
平補四鎮季税例成,bình bổ tứ trấn quý thuế lệ thành
初國家恢復伊始賦税因循徃舊輕重未均,sơ quốc gia khôi phục y thuỷ phú thuế nhân tuần vãng cựu khinh trọng vị quân
乃者王命官分行天下照隨民産厚薄田壤肥饒平補季税例額有差,nãi giả vương mệnh quan phân hành thiên hạ chiếu tuỳ dân sản hậu bạc điền nhưỡng phì nhiêu bình bổ quý thuế lệ ngạch hữu sai
至是乃成,chí thị nãi thành
即具着令例攷許官民各守其一俾得遵㨿遂爲經常之制〇,tức cụ trứ lệnh lệ khảo hứa quan dân các thủ kì nhất tỉ đắc tuân cứ toại vi kinh thường chi chế linh
禁勸農河堤索取民錢,cấm khuyến nông hà đê sách thủ dân tiền
時任是職者不思循省勸課惟務索民賀禮故嚴禁之,thì nhậm thị chức giả bất tư tuần tỉnh khuyến khoá duy vụ sách dân hạ lễ cố nghiêm cấm chi
十一月封王孫鄭椽爲副将謙郡公〇,thập nhất nguyệt phong vương tôn trịnh chuyên vi phó tướng khiêm quận công linh
賜參政黎得全子爵參督洮郡公范𣆭爲提督署衛事匡武侯范錄爲參督以得全奉差督視乂安日䂓科差拨捉得逆賊張福裡而𣆭錄亦預差行捕拿有功故也〇,tứ tham chính lê đắc toàn tử tước tham đốc thao quận công phạm thạnh vi đề đốc thự vệ sự khuông võ hầu phạm lục vi tham đốc dĩ đắc toàn phụng sai đốc thị nghệ an nhật quy khoa sai bạt tróc đắc nghịch tặc trương phúc lý nhi thạnh lục diệc dự sai hành bổ nã hữu công cố dã linh
以阮名實爲兵部右侍郎〇,dĩ nguyễn danh thực vi binh bộ hữu thị lang linh
閏十二月賜胡士揚侯爵裴廷員杜善政等男爵以候命,nhuận thập nhị nguyệt tứ hồ sĩ dương hầu tước bùi đình viên đỗ thiện chính đẳng nam tước dĩ hậu mệnh
迎接使臣有功故也〇,nghênh tiếp sứ thần hữu công cố dã linh
